"Especie","Variacion","InterAnual","PorcentajeRespectoAlMax","DiasUltMax","FechaUltMax","TrendActual","TrendUltYear","CvAnual"
"MELI",4.2,103.76,19.64,1088,2021-01-20,"Alza",1.26,18.74
"AAPL",0.18,16.11,6.56,30,2023-12-14,"Alza",0.1,11.53
"TSLA",-3.67,-26.37,87.29,800,2021-11-04,"Baja",0.03,21.17
"NVDA",-0.2,196.97,0.2,2,2024-01-11,"Alza",0.85,44.56
"AMZN",-0.36,14.2,20.66,919,2021-07-08,"Alza",0.07,16.66
"MSFT",1,41.67,0,1,2024-01-12,"Alza",0.28,16.31
"KO",0.97,-2.05,4.02,632,2022-04-21,"Baja",0,4.13
"BABA",-0.75,-19.41,335.6,1173,2020-10-27,"Baja",-0.01,12.32
"DIS",1.01,-14.66,122.75,1041,2021-03-08,"Baja",-0.04,9.95
"COIN",-7.35,108.58,173.28,795,2021-11-09,"Alza",0.11,38.21
"VIST",4.15,258.47,5.47,88,2023-10-17,"Alza",0.05,34.65
"WMT",0.13,24.58,4.85,59,2023-11-15,"Baja",0.06,7.31
"PBR",0.55,98.27,46.32,5715,2008-05-21,"Alza",0.02,23.99
"MCD",-0.23,14.85,1.22,11,2024-01-02,"Baja",0.07,6.22
"AAL",-9.46,-7.49,349.25,6261,2006-11-22,"Baja",0,11.57
"JPM",-0.73,54.74,1.9,8,2024-01-05,"Alza",0.09,11.63
"GOLD",2.86,17.6,152.34,4650,2011-04-21,"Baja",0,8.8
"YPF",-0.63,335.34,195.71,4756,2011-01-05,"Alza",0.02,30.59
"ABNB",-1.66,23.33,58.12,1066,2021-02-11,"Baja",0.06,12.74
